ceg,data_inicio_operacao,capacidade_instalada,id,codigo,nome,subsistema,latitude,longitude,coordenadas_aproximadas
EOL.CV.BA.030807-2.01,2017-01-01,28.2,50,BAUEMI,Emiliana,NE,-13.91,-42.62,FALSE
EOL.CV.BA.030837-4.01,2017-01-01,20.16,51,BAUEBR,Borgo,NE,-14.51,-42.59,FALSE
EOL.CV.BA.030943-5.01,2017-01-01,30,52,BAEVC1,Ventos de Campo Formoso I,NE,-10.63,-40.69,FALSE
EOL.CV.BA.030944-3.01,2017-01-01,30,53,BAUEVA,Ventos da Andorinha,NE,-10.58,-40.64,FALSE
EOL.CV.BA.030945-1.01,2017-01-01,30,54,BAUEVM,Ventos de Morrinhos,NE,-10.57,-40.63,FALSE
EOL.CV.BA.030946-0.01,2017-01-01,30,55,BAUEVS,Ventos do Sertão,NE,-10.56,-40.57,FALSE
EOL.CV.BA.030976-1.01,2017-01-01,30,56,BAUET1,Caetité 1,NE,-14.16,-42.48,FALSE
EOL.CV.BA.031010-7.01,2017-01-01,30,57,BAEVC2,Ventos de Campo Formoso II,NE,-10.52,-40.61,FALSE
EOL.CV.BA.031121-9.01,2017-01-01,30,59,BAUEDR,Dois Riachos,NE,-11.82,-41.46,FALSE
EOL.CV.BA.031335-1.01,2017-01-01,32.9,60,BAEBAU,Baraúnas I,NE,-9.89,-41.12,FALSE
EOL.CV.BA.031336-0.01,2017-01-01,32.9,61,BAEMBU,Morro Branco I,NE,-9.85,-41.06,FALSE
EOL.CV.BA.031337-8.01,2017-12-01,30,62,BAUEMN,Maniçoba,NE,-11.89,-41.46,FALSE
EOL.CV.BA.031338-6.01,2017-01-01,30,63,BAUEDA,Damascena,NE,-11.86,-41.47,FALSE
EOL.CV.BA.031341-6.01,2017-01-01,20,64,BAEA05,Assuruá V,NE,-11.18,-42.71,FALSE
EOL.CV.BA.031342-4.01,2017-01-01,22.1,65,BAECTB,Caetité B,NE,-14.11,-42.47,FALSE
EOL.CV.BA.031343-2.01,2017-01-01,30,66,BAEA02,Assuruá II,NE,-11.16,-42.67,FALSE
EOL.CV.BA.031344-0.01,2017-01-01,23.8,67,BAECTA,Caetité A,NE,-14.14,-42.48,FALSE
EOL.CV.BA.031352-1.01,2017-01-01,32.9,68,BAEMUS,MUSSAMBÊ,NE,-9.86,-41.08,FALSE
EOL.CV.BA.031355-6.01,2017-12-01,28,69,BAUEEP,Esperança,NE,-11.8,-41.39,FALSE
EOL.CV.BA.031356-4.01,2017-01-01,18,70,BAEA07,Assuruá VII,NE,-11.07,-42.68,FALSE
EOL.CV.BA.031431-5.01,2019-11-01,8,80,BAETE2,Teiú 2,NE,-14.44,-42.69,FALSE
EOL.CV.BA.031432-3.01,2020-01-01,10,81,BAECT2,Caititu 2,NE,-14.33,-42.61,FALSE
EOL.CV.BA.031433-1.01,2019-11-01,6,82,BAECAU,Acauã,NE,-14.41,-42.66,FALSE
EOL.CV.BA.031434-0.01,2019-11-01,4,83,BAEARA,Arapapa,NE,-14.43,-42.69,FALSE
EOL.CV.BA.031435-8.01,2019-09-01,10,84,BAEAN2,Angical 2,NE,-14.42,-42.64,FALSE
EOL.CV.BA.031447-1.01,2020-02-01,10,85,BAECAR,Carcará,NE,-14.28,-42.59,FALSE
EOL.CV.BA.031458-7.01,2020-02-01,10,86,BAECO3,Corrupião 3,NE,-14.27,-42.58,FALSE
EOL.CV.BA.031459-5.01,2020-01-01,10,87,BAECT3,Caititu 3,NE,-14.32,-42.61,FALSE
EOL.CV.BA.031511-7.01,2019-10-01,10,88,BAEPPG,Papagaio,NE,-14.48,-42.64,FALSE
EOL.CV.BA.031518-4.01,2019-09-01,16,89,BAECQ2,Coqueirinho 2,NE,-14.5,-42.65,FALSE
EOL.CV.BA.031519-2.01,2017-12-01,32.9,90,BAECND,Casa Nova II,NE,-9.27,-41.05,FALSE
EOL.CV.BA.031523-0.01,2017-01-01,8.5,91,BAECTC,Caetité C,NE,-14.11,-42.47,FALSE
EOL.CV.BA.031524-9.01,2018-02-01,28.2,92,BAECNT,Casa Nova III,NE,-9.31,-41.12,FALSE
EOL.CV.BA.031563-0.01,2017-01-01,30,93,BAUEVG,Ventos de Guarás I,NE,-10.61,-40.65,FALSE
EOL.CV.BA.031606-7.01,2019-11-01,16,94,BAETM2,Tamanduá Mirim 2,NE,-14.46,-42.67,FALSE
EOL.CV.BA.031607-5.01,2017-01-01,32.9,95,BAEBCO,Banda de Couro,NE,-9.85,-41.05,FALSE
EOL.CV.BA.031667-9.01,2017-01-01,25.85,96,BAEBAD,Baraúnas II,NE,-9.87,-41.06,FALSE
EOL.CV.BA.031737-3.01,2019-03-01,17.5,97,BAEURE,Umburanas 5,NE,-10.63,-41.5,FALSE
EOL.CV.BA.031738-1.01,2019-04-01,25,98,BAEURA,Umburanas 1,NE,-10.68,-41.53,FALSE
EOL.CV.BA.031740-3.01,2019-04-01,25,99,BAEURB,Umburanas 2,NE,-10.66,-41.51,FALSE
EOL.CV.BA.031741-1.01,2019-04-01,20,100,BAEURC,Umburanas 3,NE,-10.66,-41.52,FALSE
EOL.CV.BA.031742-0.01,2019-03-01,20,101,BAEURJ,Umburanas 10,NE,-10.71,-41.59,FALSE
EOL.CV.BA.031743-8.01,2019-03-01,17.5,102,BAEURI,Umburanas 9,NE,-10.72,-41.6,FALSE
EOL.CV.BA.031744-6.01,2019-02-01,15,103,BAEURK,Umburanas 11,NE,-10.71,-41.57,FALSE
EOL.CV.BA.031752-7.01,2019-03-01,20,104,BAEURM,Umburanas 13,NE,-10.67,-41.57,FALSE
EOL.CV.BA.031754-3.01,2019-04-01,20,105,BAEURO,Umburanas 15,NE,-10.62,-41.53,FALSE
EOL.CV.BA.031755-1.01,2019-02-01,25,106,BAEURP,Umburanas 16,NE,-10.59,-41.51,FALSE
EOL.CV.BA.031756-0.01,2019-03-01,7.5,107,BAEURR,Umburanas 18,NE,-10.6,-41.53,FALSE
EOL.CV.BA.031758-6.01,2017-09-01,27,108,BAEVB2,VENTOS DA BAHIA II,NE,-12.01,-41.44,FALSE
EOL.CV.BA.031770-5.01,2017-09-01,12,109,BAEVB4,VENTOS DA BAHIA IV,NE,-11.98,-41.44,FALSE
EOL.CV.BA.031771-3.01,2017-09-01,27,110,BAEVB8,VENTOS DA BAHIA VIII,NE,-12.03,-41.45,FALSE
EOL.CV.BA.031796-9.01,2019-03-01,20,111,BAEURF,Umburanas 6,NE,-10.66,-41.54,FALSE
EOL.CV.BA.031832-9.01,2019-02-01,25,112,BAEUR8,Umburanas 8,NE,-10.6,-41.5,FALSE
EOL.CV.BA.032081-1.01,2017-09-01,30,113,BAECR1,Cristalandia I,NE,-13.93,-41.56,FALSE
EOL.CV.BA.032082-0.01,2017-09-01,30,114,BAECR2,Cristalandia II,NE,-13.97,-41.55,FALSE
EOL.CV.BA.032083-8.01,2017-09-01,30,115,BAECR3,Cristalandia  III,NE,-14,-41.54,FALSE
EOL.CV.BA.032342-0.01,2018-04-01,12.5,129,BAEA03,Assuruá III,NE,-11.17,-42.68,FALSE
EOL.CV.BA.032343-8.01,2018-01-01,30,130,BAEA04,Assuruá IV,NE,-11.05,-42.69,FALSE
EOL.CV.BA.032344-6.01,2018-04-01,27.5,131,BAECA3,Capoeiras III,NE,-11.18,-42.74,FALSE
EOL.CV.BA.032345-4.01,2018-04-01,20,132,BAECP1,Curral de Pedras I,NE,-11.13,-42.65,FALSE
EOL.CV.BA.032346-2.01,2018-04-01,27.5,133,BAECP2,Curral de Pedras II,NE,-11.21,-42.7,FALSE
EOL.CV.BA.032347-0.01,2018-04-01,17.5,134,BAEDI2,Diamante II,NE,-11.11,-42.67,FALSE
