"RSEVSS_SANGRADOURO";"             50.000";"     -29.9679";"     -50.2826";20060930;1;"S";20060930;"S";0
"RSMN01_EÓLICA_MINUANO_I";"        22.000";"     -33.7228";"     -53.3990";20150526;1;"S";20150526;"S";0
"RSMN02_EÓLICA_MINUANO_II";"       24.000";"     -33.7174";"     -53.4167";20150526;1;"S";20150526;"S";0
"RSREB1_REB_CASSINO_I";"           22.000";"     -32.2169";"     -52.2040";20150114;1;"S";20150114;"S";0
"RSREB2_REB_CASSINO_II";"          20.000";"     -32.2103";"     -52.2120";20150114;1;"S";20150114;"S";0
"RSREB3_REB_CASSINO_III";"         22.000";"     -32.2183";"     -52.2030";20150114;1;"S";20150114;"S";0
"RSUECI_CIDREIRA";"                70.000";"     -30.0791";"     -50.1721";20110521;1;"S";20110521;"S";0
"RSUEXG_XANGRI-LÁ";"               31.700";"     -29.7767";"     -50.0736";20141211;1;"S";20141211;"S";0
"RSVAR1_VENTO_ARAGANO";"           29.700";"     -32.4145";"     -52.3729";20150430;1;"S";20150430;"S";0
"RSVC01_VERACE_I";"                20.000";"     -33.4952";"     -53.2711";20150224;1;"S";20150224;"S";0
"RSVC02_VERACE_II";"               20.000";"     -33.5086";"     -53.2832";20150224;1;"S";20150224;"S";0
"RSVC03_VERACE_III";"              26.000";"     -33.5220";"     -53.2790";20150224;1;"S";20150224;"S";0
"RSVC04_VERACE_IV";"               30.000";"     -33.5516";"     -53.2273";20150224;1;"S";20150224;"S";0
"RSVC05_VERACE_V";"                30.000";"     -33.5357";"     -53.3012";20150224;1;"S";20150224;"S";0
"RSVC06_VERACE_VI";"               18.000";"     -33.5431";"     -53.2769";20150224;1;"S";20150224;"S";0
"RSVC07_VERACE_VII";"              30.000";"     -33.5668";"     -53.2460";20150224;1;"S";20150224;"S";0
"RSVC08_VERACE_VIII";"             26.000";"     -33.5530";"     -53.3108";20150224;1;"S";20150224;"S";0
"RSVC09_VERACE_IX";"               30.000";"     -33.5767";"     -53.2953";20150224;1;"S";20150224;"S";0
"RSVC10_VERACE_X";"                28.000";"     -33.5913";"     -53.2716";20150224;1;"S";20150224;"S";0
"RSVC24_VERACE_24";"               19.690";"     -33.6392";"     -53.3098";20151126;1;"S";20151126;"S";0
"RSVC25_VERACE_25";"               07.160";"     -33.6395";"     -53.3253";20151126;1;"S";20151126;"S";0
"RSVC26_VERACE_26";"               14.320";"     -33.6531";"     -53.3044";20151126;1;"S";20151126;"S";0
"RSVC27_VERACE_27";"               16.110";"     -33.6543";"     -53.3238";20151126;1;"S";20151126;"S";0
"RSVC28_VERACE_28";"               12.530";"     -33.6341";"     -53.3538";20151216;1;"S";20151216;"S";0
"RSVC29_VERACE_29";"               17.900";"     -33.6180";"     -53.3574";20151216;1;"S";20151216;"S";0
"RSVC30_VERACE_30";"               17.900";"     -33.6103";"     -53.3443";20151216;1;"S";20151216;"S";0
"RSVC31_VERACE_31";"               08.950";"     -33.6070";"     -53.3256";20151216;1;"S";20151216;"S";0
"RSVC34_VERACE_34";"               14.320";"     -33.5621";"     -53.3529";20160107;1;"S";20160107;"S";0
"RSVC35_VERACE_35";"               12.530";"     -33.5847";"     -53.3595";20151211;1;"S";20151211;"S";0
"RSVC36_VERACE_36";"               21.480";"     -33.5957";"     -53.3681";20151225;1;"S";20151225;"S";0
"SCEABA_AQUIBATÃ";"                30.000";"     -26.5849";"     -51.7534";20111213;1;"S";20111213;"S";0
"SCEAMO_AMPARO";"                  22.500";"     -26.6183";"     -51.5645";20111224;1;"S";20111224;"S";0
"SCECAL_CRUZ_ALTA";"               30.000";"     -26.5996";"     -51.7255";20111109;1;"S";20111109;"S";0
"SCECBO_CAMPO_BELO";"              10.500";"     -26.6124";"     -51.7402";20111115;1;"S";20111115;"S";0
"SCECCA_CASCATA";"                 06.000";"     -26.5889";"     -51.7427";20111027;1;"S";20191111;"S";0
"SCESTO_SALTO";"                   30.000";"     -26.5885";"     -51.8138";20111202;1;"S";20111202;"S";0
"SCUBJD_BOM_JARDIM";"              30.000";"     -28.4414";"     -49.5706";20111022;1;"S";20111022;"S";0
"SCUPPT_PÚLPITO";"                 30.000";"     -28.4710";"     -49.6050";20110819;1;"S";20110819;"S";0
"SCUROU_RIO_DO_OURO";"             30.000";"     -28.4466";"     -49.6076";20110708;1;"S";20110708;"S";0
"BAECAC_ACACIA";"                                  16.200";"          -13.9156";"         -42.6978";20220518;1;"NE";20220524;"NE";0
"BAEPSA_PAU_SANTO";"                               18.900";"          -14.1000";"         -42.0336";20220322;1;"NE";20220524;"NE";0
"BAESSA_SAO_SALVADOR";"                            18.900";"          -13.8379";"         -42.6486";20220518;1;"NE";20220524;"NE";0
"RNEAF1_AFONSO_BEZERRA_I";"                        29.400";"          -05.3200";"         -36.5100";20220430;1;"NE";20220524;"NE";0
"RNEAF2_AFONSO_BEZERRA_II";"                       29.400";"          -05.3600";"         -36.4700";20220430;1;"NE";20220524;"NE";0
"RNEAF3_AFONSO_BEZERRA_III";"                      29.400";"          -05.4100";"         -36.4900";20220503;1;"NE";20220524;"NE";0
"RNEAF4_AFONSO_BEZERRA_IV";"                       16.800";"          -05.3500";"         -36.4700";20220503;1;"NE";20220524;"NE";0
"RNEAG1_ANGICOS_I";"                               25.200";"          -05.3200";"         -36.4900";20220514;1;"NE";20220524;"NE";0
"RNEAG2_ANGICOS_II";"                              29.400";"          -05.3600";"         -36.5000";20220514;1;"NE";20220524;"NE";0
"BAEABL_ABIL";"                                    23.700";"          -14.2778";"         -42.5435";20220210;1;"NE";20220310;"NE";0
"BAEFDS_FOLHA_DE_SERRA";"                          21.000";"          -14.5500";"         -42.5806";20220202;1;"NE";20220310;"NE";0
"BAEJAB_JABUTICABA";"                              09.000";"          -14.3257";"         -42.5719";20220210;1;"NE";20220310;"NE";0
"BAEJCE_JACARANDA_DO_CERRADO";"                    21.000";"          -14.5562";"         -42.5820";20220202;1;"NE";20220310;"NE";0
"BAETAB_TABUA";"                                   15.000";"          -14.3159";"         -42.5721";20220210;1;"NE";20220310;"NE";0
"BAEVAQ_VAQUETA";"                                 23.400";"          -14.2596";"         -42.5543";20220210;1;"NE";20220310;"NE";0
"RNEEP2_VILA_ESPIRITO_SANTO_";"                    37.800";"          -05.1877";"         -37.1357";20220218;1;"NE";20220310;"NE";0
"RNEEP4_VILA_ESPIRITO_SANTO_";"                    37.800";"          -05.2251";"         -37.1547";20220225;1;"NE";20220310;"NE";0
"BAEB23_VENTOS_DA_BAHIA_XXII";"                    49.500";"          -12.0752";"         -41.4953";20220202;1;"NE";20220223;"NE";0
"BAEB27_VENTOS_DA_BAHIA_XXVI";"                    49.500";"          -12.0862";"         -41.4690";20220205;1;"NE";20220223;"NE";0
"BAES08_VENTOS_DE_SANTA_ESPE";"                    25.200";"          -11.5870";"         -41.3751";20220202;1;"NE";20220223;"NE";0
"BAES13_VENTOS_DE_SANTA_ESPE";"                    33.600";"          -11.5834";"         -41.3568";20220127;1;"NE";20220223;"NE";0
"BAES15_VENTOS_DE_SANTA_ESPE";"                    46.200";"          -11.5583";"         -41.3017";20220113;1;"NE";20220223;"NE";0
"BAES16_VENTOS_DE_SANTA_ESPE";"                    42.000";"          -11.5126";"         -41.2787";20220114;1;"NE";20220223;"NE";0
"RNEAL2_VILA_ALAGOAS_II";"                         21.000";"          -05.1718";"         -37.0928";20220218;1;"NE";20220223;"NE";0
"RNEEP3_VILA_ESPIRITO_SANTO_";"                    37.800";"          -05.1994";"         -37.1536";20220111;1;"NE";20220223;"NE";0
"RNEFG1_FILGUEIRA_I";"                             39.050";"          -05.0207";"         -36.9989";20220122;1;"NE";20220223;"NE";0
"RNESR1_SANTA_ROSA_E_MUNDO_N";"                    33.600";"          -05.9132";"         -36.1539";20220208;1;"NE";20220223;"NE";0
"BAES22_VENTOS_DE_SANTA_ESPE";"                    46.200";"          -11.5293";"         -41.2728";20211230;1;"NE";20220127;"NE";0
"BAES25_VENTOS_DE_SANTA_ESPE";"                    25.200";"          -11.5941";"         -41.3396";20211231;1;"NE";20220127;"NE";0
"BAETE3_TEIU_3";"                                  23.500";"          -14.4088";"         -42.6486";20211204;1;"NE";20220127;"NE";0
"PBCN2_CANOAS_2";"                                 34.650";"          -06.8825";"         -36.7914";20211231;1;"NE";20220127;"NE";0
"PBCN3_CANOAS_3";"                                 34.650";"          -06.8721";"         -36.7594";20211231;1;"NE";20220127;"NE";0
"PBCN4_CANOAS_4";"                                 34.650";"          -06.8436";"         -36.7355";20211231;1;"NE";20220127;"NE";0
"PEEPF2_PAU_FERRO_II";"                            77.000";"          -09.0365";"         -38.0999";20211222;1;"NE";20220127;"NE";0
"PEETA2_TACAICO_II";"                              77.000";"          -09.0167";"         -38.0747";20211222;1;"NE";20220127;"NE";0
"RNEEP5_VILA_ESPIRITO_SANTO_";"                    37.800";"          -05.2347";"         -37.1342";20211231;1;"NE";20220127;"NE";0
"RNESR3_SANTA_ROSA_E_MUNDO_N";"                    33.600";"          -05.8537";"         -36.2604";20220105;1;"NE";20220127;"NE";0
"RNESR4_SANTA_ROSA_E_MUNDO_N";"                    33.600";"          -05.8744";"         -36.2667";20220101;1;"NE";20220127;"NE";0
"BAEB13_VENTOS_DA_BAHIA_XIII";"49.5";"-12.1461";"-41.494";20211215;1;"NE";20211228;"NE";0
"BAEB14_VENTOS_DA_BAHIA_XIV";"33";"-12.0585";"-41.4394";20211203;1;"NE";20211228;"NE";0
"CEESM4_SERRA_DO_MATO_IV";"21";"-3.2201";"-39.3962";20211204;1;"NE";20211228;"NE";0
"PBLG3_LAGOA_3";"34.65";"-6.8712";"-36.8262";20211218;1;"NE";20211228;"NE";0
"PBLG4_LAGOA_4";"20.79";"-6.8837";"-36.8429";20211203;1;"NE";20211228;"NE";0
"PIEQN1_AURA_QUEIMADA_NOVA_0";"32.2";"-8.6838";"-41.5891";20211208;1;"NE";20211228;"NE";0
"PIEQN2_AURA_QUEIMADA_NOVA_0";"50.6";"-8.6288";"-41.595";20211208;1;"NE";20211228;"NE";0
"RNEJ23_VENTOS_DE_SAO_JANUAR";"58.8";"-5.8908";"-35.9608";20211224;1;"NE";20211228;"NE";0
"RNESR2_SANTA_ROSA_E_MUNDO_N";"29.4";"-5.8835";"-36.1975";20211201;1;"NE";20211228;"NE";0
"RNESR5_SANTA_ROSA_E_MUNDO_N";"25.2";"-5.9004";"-36.2055";20211218;1;"NE";20211228;"NE";0
"BAES17_VENTOS_DE_SANTA_ESPE";"                    42.000";"          -11.5080";"         -41.2946";20211113;1;"NE";20211202;"NE";0
"BAES21_VENTOS_DE_SANTA_ESPE";"                    46.200";"          -11.5501";"         -41.2845";20211113;1;"NE";20211202;"NE";0
"BAES26_VENTOS_DE_SANTA_ESPE";"                    46.200";"          -11.5316";"         -41.3209";20211113;1;"NE";20211202;"NE";0
"CEESM2_SERRA_DO_MATO_II";"                        21.000";"          -03.2760";"         -39.3513";20211029;1;"NE";20211202;"NE";0
"CEESM3_SERRA_DO_MATO_III";"                       21.000";"          -03.2625";"         -39.3482";20211029;1;"NE";20211202;"NE";0
"CEESM6_SERRA_DO_MATO_VI";"                        16.800";"          -03.2456";"         -39.4073";20211118;1;"NE";20211202;"NE";0
"PBVA1_VENTOS_DE_ARAPUA_1";"                       24.255";"          -07.0482";"         -36.9524";20211111;1;"NE";20211202;"NE";0
"PBVA2_VENTOS_DE_ARAPUA_2";"                       34.650";"          -07.0292";"         -36.9624";20211111;1;"NE";20211202;"NE";0
"PBVA3_VENTOS_DE_ARAPUA_3";"                       13.860";"          -07.0508";"         -36.9679";20211111;1;"NE";20211202;"NE";0
"RNEEP1_VILA_ESPIRITO_SANTO_";"                    33.600";"          -05.1869";"         -37.1132";20211126;1;"NE";20211202;"NE";0
"RNEFG2_FILGUEIRA_II";"                            28.400";"          -05.0127";"         -37.0396";20211104;1;"NE";20211202;"NE";0
"RNEM14_VENTOS_DE_SANTA_MART";"                    63.000";"          -05.7150";"         -35.8828";20211119;1;"NE";20211202;"NE";0
"BAEC22_CAMPO_LARGO_XXII";"                        33.600";"          -10.5094";"         -41.6117";20210625;1;"NE";20211105;"NE";0
"CEESM1_SERRA_DO_MATO_I";"                         21.000";"          -03.2707";"         -39.3963";20211028;1;"NE";20211105;"NE";0
"CEESM5_SERRA_DO_MATO_V";"                         21.000";"          -03.2322";"         -39.4020";20211021;1;"NE";20211105;"NE";0
"PBCH4_CHAFARIZ_4";"                               34.650";"          -07.0337";"         -36.9355";20211021;1;"NE";20211105;"NE";0
"RNECM3_CUMARU_III";"                              42.000";"          -05.1319";"         -35.8098";20211016;1;"NE";20211105;"NE";0
"RNECM4_CUMARU_IV";"                               42.000";"          -05.1600";"         -35.7833";20211016;1;"NE";20211105;"NE";0
"RNECM5_CUMARU_V";"                                37.800";"          -05.1458";"         -35.7989";20211016;1;"NE";20211105;"NE";0
"RNEM01_VENTOS_DE_SANTA_MART";"                    63.000";"          -05.7300";"         -35.9053";20211014;1;"NE";20211105;"NE";0
"BAEC11_CAMPO_LARGO_XI";"                          16.800";"          -10.4027";"         -41.4464";20210902;1;"NE";20211001;"NE";0
"BAEC13_CAMPO_LARGO_XIII";"                        42.000";"          -10.4025";"         -41.4935";20210902;1;"NE";20211001;"NE";0
"PBCH2_CHAFARIZ_2";"                               34.650";"          -06.9969";"         -36.8940";20210915;1;"NE";20211001;"NE";0
"PBCH3_CHAFARIZ_3";"                               34.650";"          -07.0016";"         -36.8983";20210925;1;"NE";20211001;"NE";0
"PBCH5_CHAFARIZ_5";"                               34.650";"          -07.0039";"         -36.9131";20210925;1;"NE";20211001;"NE";0
"PBCH6_CHAFARIZ_6";"                               31.185";"          -06.9786";"         -36.8539";20210823;1;"NE";20211001;"NE";0
"PISA20_VENTOS_DE_SANTA_ANGE";"                    30.000";"          -08.7818";"         -41.4520";20210213;1;"NE";20211001;"NE";0
"RNEFTO_FAROL_DE_TOUROS";"                         24.850";"          -05.2550";"         -35.5018";20210916;1;"NE";20211001;"NE";0
"RNEM12_VENTOS_DE_SANTA_MART";"                    58.800";"          -05.7592";"         -35.8861";20210917;1;"NE";20211001;"NE";0
"RNEM13_VENTOS_DE_SANTA_MART";"                    63.000";"          -05.7111";"         -35.8958";20210831;1;"NE";20211001;"NE";0
