USI_ID;ID_AGRUPAMENTO;ID_PONTO_CONEXAO;ID_SUBSISTEMA;ID_EMPREENDIMENTO;ID_AGENTE;ID_MODALIDADE;NOME;TP_USINA;TAG_PI;CEG_ANEEL;COD_CCEE;LATITUDE;LONGITUDE;POT_INSTALADA;FLAG_PROGRAMADA;DT_ENTRADA_OPER;DT_DESATIVACAO;VLR_GF_ENERGIA;VLR_GF_POTENCIA;FLAG_MERCADO;UF;NOME_SIMPLES;ID_QUADRICULA;COD_PI;DT_INCLUSAO;FLAG_HISTORICO;FLAG_SIMULADA;ID_CONJUNTO_PDES_OLD;ID_CONJUNTO_PDP;DT_ENTRADA_TESTE;LATITUDE_;LONGITUDE_;LOCALIZACAO;DT_ENTRADA_SIMUL;ID_SUBSISTEMA_SIMUL;FLAG_SUSPENSA;FLAG_LEILAO;ID_CONJUNTO_BDT;ID_PONTO_CONEXAO_BDT;ID_CONJUNTO_PDES
RSCSE3;167;42;S;NULL;381;14;Corredor Senandes III;UEE;RSCSE3_GE_TOT_MW.v;EOL.CV.RS.030819-6.01;NULL;-32.41;-52.36;27000.00;1;23/01/2015;NULL;13.20;NULL;NULL;RS;CORREDOR SENANDES III;152;RSCSE3;16/05/2017;N;1;39-----;80;NULL;-324,127;-523,555;L;23/01/2015;S;N;S;87;40;CJT-39
RSCSE4;167;42;S;NULL;382;14;Corredor Senandes IV;UEE;RSCSE4_GE_TOT_MW.v;EOL.CV.RS.030840-4.01;NULL;-32.37;-52.34;29700.00;1;11/04/2015;NULL;12.90;NULL;NULL;RS;CORREDOR SENANDES IV;152;RSCSE4;16/05/2017;N;1;39-----;80;NULL;-323,689;-523,420;L;11/04/2015;S;N;S;87;40;CJT-39
RSECC1;163;45;S;NULL;348;14;Cerro Chato I;UEE;RSECC1_GE_TOT_MW.v;EOL.CV.RS.030348-8.01;NULL;-30.84;-55.73;30000.00;1;06/01/2012;NULL;11.30;NULL;NULL;RS;CERRO CHATO I;152;RSECC1;16/05/2017;N;1;37-----;38;NULL;-308,407;-557,251;I;06/01/2012;S;N;N;83;37;CJT-37
RSECC2;163;45;S;NULL;348;14;Cerro Chato II;UEE;RSECC2_GE_TOT_MW.v;EOL.CV.RS.030349-6.01;NULL;-30.85;-55.69;30000.00;1;31/08/2011;NULL;11.30;NULL;NULL;RS;CERRO CHATO II;152;RSECC2;16/05/2017;N;1;37-----;38;NULL;-308,485;-556,856;I;31/08/2011;S;N;N;83;37;CJT-37
RSECC3;163;45;S;NULL;348;14;Cerro Chato III;UEE;RSECC3_GE_TOT_MW.v;EOL.CV.RS.030350-0.01;NULL;-30.80;-55.71;30000.00;1;07/06/2011;NULL;11.30;NULL;NULL;RS;CERRO CHATO III;152;RSECC3;16/05/2017;N;1;37-----;38;NULL;-308,018;-557,142;I;07/06/2011;S;N;N;83;37;CJT-37
RSECC4;163;45;S;NULL;354;14;CERRO CHATO IV;UEE;RSECC4_GE_TOT_MW.v;EOL.CV.RS.030784-0.01;NULL;-30.83;-55.75;10000.00;1;01/03/2014;NULL;3.30;NULL;NULL;RS;CERRO CHATO IV;152;RSECC4;16/05/2017;N;0;37-----;38;14/12/2013;-308,327;-557,558;L;NULL;S;N;S;83;122;NULL
RSECC5;163;45;S;NULL;355;14;CERRO CHATO V;UEE;RSECC5_GE_TOT_MW.v;EOL.CV.RS.030786-6.01;NULL;-30.79;-55.75;12000.00;1;17/05/2014;NULL;4.00;NULL;NULL;RS;CERRO CHATO V;152;RSECC5;16/05/2017;N;0;37-----;38;12/03/2014;-307,957;-557,556;L;NULL;S;N;S;83;122;NULL
RSECC6;163;45;S;NULL;356;14;CERRO CHATO VI;UEE;RSECC6_GE_TOT_MW.v;EOL.CV.RS.030756-4.01;NULL;-30.78;-55.69;24000.00;1;01/10/2014;NULL;9.30;NULL;NULL;RS;CERRO CHATO VI;152;RSECC6;16/05/2017;N;0;37-----;38;07/06/2014;-307,830;-556,906;L;NULL;S;N;S;83;122;NULL
RSECDT;163;45;S;NULL;357;14;CERRO DOS TRINDADE;UEE;RSECDT_GE_TOT_MW.v;EOL.CV.RS.030762-9.01;NULL;-30.85;-55.75;8000.00;1;29/11/2013;NULL;2.80;NULL;NULL;RS;CERRO DOS TRINDADE;152;RSECDT;16/05/2017;N;0;37-----;38;11/07/2013;-308,512;-557,527;I;NULL;S;N;S;83;122;NULL
RSECIN;163;45;S;NULL;348;14;Capão do Inglês;UEE;RSECIN_GE_TOT_MW.v;EOL.CV.RS.031510-9.01;NULL;-30.92;-55.71;10000.00;1;16/12/2015;NULL;3.90;NULL;NULL;RS;CAPAO DO INGLES;152;RSECIN;16/05/2017;N;1;37-----;38;NULL;-309,163;-557,084;I;16/12/2015;S;N;S;83;37;CJT-37
