USI_ID;NOME;SUBSISTEMA ;ESTADO;FONTE;CEG ANEEL;LAT;LONG
D30121;ARATUA 1;NORDESTE;RN;Eólica;EOL.CV.RN.030121-3.01;-5.09;-36.34
D30333;CABECO PRETO;NORDESTE;RN;Eólica;EOL.CV.RN.030333-0.01;-5.42;-35.95
D30501;CABECO PRETO IV;NORDESTE;RN;Eólica;EOL.CV.RN.030501-4.01;-5.45;-35.96
BAUEMC;MACAUBAS;NORDESTE;BA;Eólica;EOL.CV.BA.030283-0.01;-12.35;-42.34
BAUESR;SEABRA;NORDESTE;BA;Eólica;EOL.CV.BA.030306-2.01;-12.27;-42.37
BAUENH;N.HORIZONTE - EOL NH;NORDESTE;BA;Eólica;EOL.CV.BA.030305-4.01;-12.31;-42.35
CEUEFU;FAISA I;NORDESTE;CE;Eólica;EOL.CV.CE.030352-6.01;-3.32;-39.27
CEUEFD;FAISA II;NORDESTE;CE;Eólica;EOL.CV.CE.030331-3.01;-3.32;-39.24
CEUEFT;FAISA III;NORDESTE;CE;Eólica;EOL.CV.CE.030332-1.01;-3.35;-39.27
CEUEFQ;FAISA IV;NORDESTE;CE;Eólica;EOL.CV.CE.030329-1.01;-3.32;-39.27
CEUEFC;FAISA V;NORDESTE;CE;Eólica;EOL.CV.CE.030309-7.01;-3.37;-39.26
BAUEPS;PORTO SEGURO;NORDESTE;BA;Eólica;EOL.CV.BA.030323-2.01;-13.86;-42.67
BAUENC;N SRA CONCEIC;NORDESTE;BA;Eólica;EOL.CV.BA.030318-6.01;-13.90;-42.68
BAUEIH;ILHEUS (ILHEUS);NORDESTE;BA;Eólica;EOL.CV.BA.030315-1.01;-13.88;-42.66
BAUEIP;IGAPORA;NORDESTE;BA;Eólica;EOL.CV.BA.030321-6.01;-13.86;-42.66
BAUEPT;PLANALTINA;NORDESTE;BA;Eólica;EOL.CV.BA.030322-4.01;-13.99;-42.64
BAUEPV;PAJEU DO VENTO;NORDESTE;BA;Eólica;EOL.CV.BA.030319-4.01;-14.01;-42.63
BAUELA;LICINIO DE ALMEIDA;NORDESTE;BA;Eólica;EOL.CV.BA.030317-8.01;-14.18;-42.65
BAUEGB;GUANAMBI;NORDESTE;BA;Eólica;EOL.CV.BA.030328-3.01;-14.20;-42.62
BAUECB;CANDIBA;NORDESTE;BA;Eólica;EOL.CV.BA.030316-0.01;-14.19;-42.65
BAUESS;SERRA DO SALTO;NORDESTE;BA;Eólica;EOL.CV.BA.030314-3.01;-14.16;-42.64
BAUERV;RIO VERDE;NORDESTE;BA;Eólica;EOL.CV.BA.030341-0.01;-14.16;-42.60
BAUEAV;ALVORADA;NORDESTE;BA;Eólica;EOL.CV.BA.030320-8.01;-14.19;-42.59
BAUEGP;GUIRAPA;NORDESTE;BA;Eólica;EOL.CV.BA.030342-9.01;-14.22;-42.64
BAUEPD;PINDAI;NORDESTE;BA;Eólica;EOL.CV.BA.030324-0.01;-14.20;-42.66
D30296;B. DOS COQUEIROS;NORDESTE;SE;Eólica;EOL.CV.SE.030296-1.01;-10.81;-36.93
CEDUNA;DUNAS DE PARACURU;NORDESTE;CE;Eólica;EOL.CV.CE.030299-6.01;-3.43;-38.98
RNUERU;REI VENTOS 1 2LER;NORDESTE;RN;Eólica;EOL.CV.RN.030416-6.01;-5.10;-36.20
RNUERT;REI VENTOS 3 2LER;NORDESTE;RN;Eólica;EOL.CV.RN.030417-4.01;-5.12;-36.16
RNUES3;MIASSABA 3;NORDESTE;RN;Eólica;EOL.CV.RN.030339-9.01;-5.13;-36.45
BAPEDO;PEDRA DO REINO;NORDESTE;BA;Eólica;EOL.CV.BA.030288-0.01;-9.51;-40.88
RNCEM1;MORRO DOS VENTOS I;NORDESTE;RN;Eólica;EOL.CV.RN.030301-1.01;-5.36;-35.82
RNCEM3;MORRO DOS VENTOS III;NORDESTE;RN;Eólica;EOL.CV.RN.030310-0.01;-5.37;-35.87
RNCEM4;MORRO DOS VENTOS IV;NORDESTE;RN;Eólica;EOL.CV.RN.030311-9.01;-5.38;-35.88
RNCEM6;MORRO DOS VENTOS VI;NORDESTE;RN;Eólica;EOL.CV.RN.030300-3.01;-5.34;-35.88
RNCEM9;MORRO DOS VENTOS IX;NORDESTE;RN;Eólica;EOL.CV.RN.030302-0.01;-5.31;-35.91
RNUER6;EURUS VI;NORDESTE;RN;Eólica;EOL.CV.RN.030351-8.01;-5.23;-35.93
RNUEC1;STA CLARA I (SCLARA);NORDESTE;RN;Eólica;EOL.CV.RN.030292-9.01;-5.24;-35.90
RNUEC2;STA CLARA II;NORDESTE;RN;Eólica;EOL.CV.RN.030308-9.01;-5.27;-35.91
RNUEC3;STA CLARA III;NORDESTE;RN;Eólica;EOL.CV.RN.030293-7.01;-5.27;-35.90
RNUEC4;STA CLARA IV;NORDESTE;RN;Eólica;EOL.CV.RN.030307-0.01;-5.24;-35.91
RNUEC5;STA CLARA V;NORDESTE;RN;Eólica;EOL.CV.RN.030378-0.01;-5.26;-35.92
RNUEC6;STA CLARA VI;NORDESTE;RN;Eólica;EOL.CV.RN.030304-6.01;-5.24;-35.93
CEQUIX;QUIXABA;NORDESTE;CE;Eólica;EOL.CV.CE.030369-0.01;-4.56;-37.68
CEUECJ;NOVA CAJUCOCO;NORDESTE;CE;Eólica;EOL.CV.CE.030294-5.01;-2.92;-39.95
CEUECO;COQUEIROS;NORDESTE;CE;Eólica;EOL.CV.CE.030282-1.01;-2.89;-39.97
RNUEAB;AREIA BRANCA (EBV);NORDESTE;RN;Eólica;EOL.CV.RN.030340-2.01;-4.97;-36.90
RNUEMT;MAR E TERRA;NORDESTE;RN;Eólica;EOL.CV.RN.030389-5.01;-4.96;-36.91
CEUEEM;EMBUACA;NORDESTE;CE;Eólica;EOL.CV.CE.030336-4.01;-3.21;-39.33
CEICAR;ICARAI;NORDESTE;CE;Eólica;EOL.CV.CE.030289-9.01;-3.02;-39.62
RNUAD;ALEGRIA II;NORDESTE;RN;Eólica;EOL.CV.RN.028443-2.01;-5.12;-36.38
BAPDR3;PEDRA REINO III 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030608-8.01;-9.49;-40.87
BAUET2;CAETITE 2;NORDESTE;BA;Eólica;EOL.CV.BA.030437-9.01;-14.19;-42.50
BAUET3;CAETITE 3;NORDESTE;BA;Eólica;EOL.CV.BA.030448-4.01;-14.22;-42.51
BAUESG;SETE GAMELEIRAS;NORDESTE;BA;Eólica;EOL.CV.BA.030455-7.01;-9.86;-41.10
